time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.3567238118e-07,2.07368885463e-07,10.0068307411,0.000181004525026,6.28267930905,0.0,6.16083816785e-06,1.85760098698e-05,0.227672976164,0.0084549173435,-0.0362504218112,0.0,477.1779829347602,474.4031742526154,475.2615535091293,475.90897471086095
0.12000000000000001,1.71683622539e-05,6.50015875432e-06,10.0219663718,0.000439056056765,6.28076673652,0.0,0.000769276499581,0.000228907370043,0.276836736335,-0.00567050023166,-0.0243162401464,0.0,419.36229168619883,420.3970002511266,421.7816647682331,420.5601218912986
0.18,0.000112968571791,2.71304998264e-05,10.039436752,6.2829920219,6.27947925089,0.0,0.0025491267815,0.000416506687311,0.305501418254,-0.0226896881554,-0.0162804782524,0.0,412.8340491089891,413.54231227111205,415.03535001017957,413.5392545821011
0.23999999999999996,0.000334035980787,4.42626614194e-05,10.0576230864,6.28151909062,6.27816800736,0.0,0.00491583262634,3.22421769154e-05,0.300710577853,-0.0285531692099,-0.0363592803223,0.0,402.6591095137611,400.83871718746457,403.28712552024183,402.7570864861355
0.3,0.000745921056524,3.98140056851e-06,10.0796567894,6.28035503325,6.27635114837,0.0,0.00902484416203,-0.00152392311914,0.433702917423,-0.005519292675,-0.0202806996086,0.0,446.28911134188763,447.59898382058975,446.8471697687728,448.7206124709897
0.36000000000000004,0.0014581251871,-0.000157483114452,10.1122122296,6.27991536062,6.27471350927,0.0,0.0148776748738,-0.00390364514071,0.651378052194,-0.0112155569594,-0.047484715562,0.0,474.18910603945824,472.0947639700283,473.08004771710205,472.64141953160913
0.4200000000000001,0.00252964820016,-0.000459130757461,10.1535022187,6.27885426944,6.2716794793,0.0,0.0211270432292,-0.00623131340101,0.724907655765,-0.0355614745004,-0.0575786899997,0.0,428.6035859400971,427.7432019321787,430.62017214119123,428.55604023260224
0.48000000000000015,0.00407542870064,-0.000941160050808,10.2022318812,6.27676979279,6.26799966994,0.0,0.0307991475085,-0.0100740361848,0.899286733208,-0.0331497017346,-0.0701452557694,0.0,461.1384349820436,460.142221970959,460.2171056707185,460.4074672410868
0.5400000000000001,0.00626630617017,-0.00169119646237,10.2600094587,6.2749004836,6.26341211888,0.0,0.0426898171832,-0.0151306721076,1.02651713624,-0.0274385731229,-0.0937018505902,0.0,447.7162323726815,445.790893532556,445.6645093222917,446.13067064495465
0.6000000000000002,0.00922686505513,-0.00276382736478,10.3231175579,6.27309861973,6.25778055721,0.0,0.0565271845989,-0.0207858734382,1.07702621872,-0.0357972746243,-0.0941760191945,0.0,421.49425373285493,421.4452870215111,422.97821790902236,422.2574854824469
0.6600000000000003,0.0131296299964,-0.00421364373359,10.3894040196,6.27083790519,6.25223173648,0.0,0.0740974916448,-0.0277506425483,1.13245136289,-0.0417338945504,-0.0892903146197,0.0,422.55680472876736,422.97001727403284,425.0872084492349,424.5774800179111
0.7200000000000003,0.0184011907691,-0.00621016297443,10.4655572065,6.26813039813,6.24739011782,0.0,0.102257364994,-0.0391271793296,1.40566610284,-0.0529544466133,-0.06747529109,0.0,489.77708036416254,491.39189910438307,490.24887573105684,489.4135408123742
0.7800000000000004,0.0252706444616,-0.00886994640869,10.552316647,6.26620902267,6.24335096661,0.0,0.127121144438,-0.0497660260163,1.48619335881,-0.00743453517125,-0.0670089495366,0.0,432.4603906671357,432.4961339065666,431.274206569188,435.10073437419084
0.8400000000000004,0.0338167435778,-0.0122421781041,10.6464644258,6.26560562708,6.23939786217,0.0,0.158184386228,-0.0626955519676,1.65181934733,-0.0158975878186,-0.0637281012776,0.0,459.8286673988053,460.0854115132991,459.65202719413827,458.9810351749796
0.9000000000000005,0.0442842675747,-0.0163941103975,10.7498826179,6.26457076111,6.23649697281,0.0,0.191075774721,-0.0758058118302,1.79521840702,-0.0200947559129,-0.0281470851403,0.0,451.9219487556788,454.7788847493895,453.59116145695253,453.2540797949819
0.9600000000000005,0.0567241339525,-0.0213330890434,10.8606790537,6.26357900056,6.23468621491,0.0,0.223756202915,-0.0889352932019,1.89781716236,-0.0102126906849,-0.0345887526922,0.0,442.171401448579,441.6401360399045,440.0507512888811,440.86803359308436
1.0200000000000005,0.0712277990302,-0.0271041009502,10.9789401751,6.26307189464,6.23241675809,0.0,0.259920879975,-0.103487452316,2.04395300305,-0.00514395403798,-0.045238781466,0.0,455.04286741692334,454.18889496817695,455.3939833238157,455.79934298896666
1.0800000000000005,0.088219740071,-0.0338630340672,11.1111577503,6.26239989069,6.22993134781,0.0,0.306792336275,-0.121858212152,2.3626706459,-0.0274634775621,-0.034717350049,0.0,505.98455612947055,506.7406916988815,505.91406017869804,504.30465951522416
1.1400000000000006,0.107733304214,-0.0416085126649,11.2558829976,6.26162236544,6.22795444727,0.0,0.343852752625,-0.136433643697,2.46127722349,0.0064596851287,-0.0296269483371,0.0,441.5234322669471,441.9427586786435,441.40787685082677,444.1984475671249
1.2000000000000006,0.12952377617,-0.0502436598161,11.4067803687,6.26167576687,6.22648696893,0.0,0.382645966013,-0.151373495063,2.56838510909,-0.0136051064938,-0.0157304876931,0.0,445.1166466599689,446.25229389807976,445.9847721575536,444.3429562636057
1.2600000000000007,0.153491306847,-0.0597104737642,11.5609838533,6.26148728526,6.22572082904,0.0,0.41634239399,-0.16422624325,2.57171304732,0.0122262649011,-0.00742149796877,0.0,412.51297865885067,413.246143740905,410.36044652376887,412.6470967924032
